Time resolution is 1 ps
Time=0, REC=         0, RPM=         0, State=00
Testing forward progression...
Time=25000, REC=         0, RPM=   2500000, State=00
Time=75000, REC=         1, RPM=   2500000, State=10
Time=125000, REC=         2, RPM=   2500000, State=11
Time=145000, REC=         2, RPM=   1250000, State=11
Time=175000, REC=         3, RPM=   1250000, State=01
Time=205000, REC=         3, RPM=    833333, State=01
Testing reverse progression...
Time=225000, REC=         4, RPM=    833333, State=00
Time=265000, REC=         4, RPM=    625000, State=00
Time=275000, REC=         3, RPM=    625000, State=01
Time=325000, REC=         2, RPM=    625000, State=11
Time=335000, REC=         2, RPM=   2500000, State=11
Time=375000, REC=         1, RPM=   2500000, State=10
Time=395000, REC=         1, RPM=   1250000, State=10
Testing negative overflow...
Time=425000, REC=         0, RPM=   1250000, State=00
Time=15495000, REC=4294967292, RPM=      2100, State=00
Time=15545000, REC=4294967292, RPM=      2093, State=00
Time=15595000, REC=4294967292, RPM=      2086, State=00
Time=15645000, REC=4294967292, RPM=      2079, State=00
Time=15695000, REC=4294967292, RPM=      2072, State=00
Time=15745000, REC=4294967292, RPM=      2066, State=00
Time=15795000, REC=4294967292, RPM=      2059, State=00
Time=15845000, REC=4294967292, RPM=      2052, State=00
Time=15895000, REC=4294967292, RPM=      2045, State=00
Time=15945000, REC=4294967292, RPM=      2039, State=00
Time=15995000, REC=4294967292, RPM=      2032, State=00
Time=16045000, REC=4294967292, RPM=      2025, State=00
Time=16095000, REC=4294967292, RPM=      2019, State=00
Time=16145000, REC=4294967292, RPM=      2012, State=00
Time=16195000, REC=4294967292, RPM=      2006, State=00
Time=16245000, REC=4294967292, RPM=      2000, State=00
Time=16295000, REC=4294967292, RPM=      1993, State=00
Time=16345000, REC=4294967292, RPM=      1987, State=00
Time=16395000, REC=4294967292, RPM=      1980, State=00
Time=16445000, REC=4294967292, RPM=      1974, State=00
Time=16495000, REC=4294967292, RPM=      1968, State=00
Time=16545000, REC=4294967292, RPM=      1962, State=00
Time=16595000, REC=4294967292, RPM=      1956, State=00
Time=16645000, REC=4294967292, RPM=      1950, State=00
Time=16695000, REC=4294967292, RPM=      1944, State=00
Time=16745000, REC=4294967292, RPM=      1937, State=00
Time=16795000, REC=4294967292, RPM=      1931, State=00
Time=16845000, REC=4294967292, RPM=      1926, State=00
Time=16895000, REC=4294967292, RPM=      1920, State=00
Time=16945000, REC=4294967292, RPM=      1914, State=00
Time=16995000, REC=4294967292, RPM=      1908, State=00
Time=17045000, REC=4294967292, RPM=      1902, State=00
Time=17095000, REC=4294967292, RPM=      1896, State=00
Time=17145000, REC=4294967292, RPM=      1891, State=00
Time=17195000, REC=4294967292, RPM=      1885, State=00
Time=17245000, REC=4294967292, RPM=      1879, State=00
Time=17295000, REC=4294967292, RPM=      1874, State=00
Time=17345000, REC=4294967292, RPM=      1868, State=00
Time=17395000, REC=4294967292, RPM=      1862, State=00
Time=17445000, REC=4294967292, RPM=      1857, State=00
Time=17495000, REC=4294967292, RPM=      1851, State=00
Time=17545000, REC=4294967292, RPM=      1846, State=00
Time=17595000, REC=4294967292, RPM=      1840, State=00
